hs,gre,col,grad
57,52,41,57
68,59,53,61
44,33,54,31
63,44,47,56
47,52,57,61
44,52,51,61
50,59,42,61
34,46,45,36
63,57,54,51
57,55,52,51
60,46,51,61
57,65,51,61
73,60,71,71
54,63,57,46
45,57,50,56
42,49,43,56
47,52,51,56
57,57,60,56
68,65,62,61
55,39,57,46
63,49,35,41
63,63,75,66
50,40,45,56
60,52,57,61
37,44,45,46
34,37,46,31
65,65,66,66
47,57,57,46
44,38,49,46
52,44,49,41
42,31,57,51
76,52,64,61
65,67,63,71
42,41,57,31
52,59,50,61
60,65,58,66
68,54,75,66
65,62,68,66
47,31,44,36
39,31,40,51
47,47,41,51
55,59,62,51
52,54,57,51
42,41,43,41
65,65,48,66
55,59,63,46
50,40,39,47
65,59,70,51
47,59,63,46
57,54,59,51
53,61,61,56
39,33,38,41
44,44,61,46
63,59,49,71
73,62,73,66
39,39,44,42
37,37,42,32
42,39,39,46
63,57,55,41
48,49,52,51
50,46,45,61
47,62,61,66
44,44,39,46
34,33,41,36
50,42,50,61
44,41,40,26
60,54,60,66
47,39,47,26
63,43,59,44
50,33,49,36
44,44,46,51
60,54,58,61
73,67,71,66
68,59,58,66
55,45,46,51
47,40,43,31
55,61,54,61
68,59,56,66
31,36,46,46
47,41,54,56
63,59,57,56
36,49,54,36
68,59,71,56
63,65,48,56
55,41,40,41
55,62,64,66
52,41,51,56
34,49,39,56
50,31,40,31
55,49,61,56
52,62,66,46
63,49,49,46
68,62,65,61
39,44,52,48
44,44,46,51
50,62,61,51
71,65,72,56
63,65,71,71
34,44,40,41
63,63,69,61
68,60,64,66
47,59,56,61
47,46,49,41
63,52,54,51
52,59,53,51
55,54,66,56
60,62,67,56
35,35,40,33
47,54,46,56
71,65,69,71
57,52,40,56
44,50,41,51
65,59,57,66
68,65,58,56
73,61,57,66
36,44,37,41
43,54,55,46
73,67,62,66
52,57,64,56
41,47,40,51
60,54,50,51
50,52,46,56
50,52,53,56
47,46,52,46
47,62,45,46
55,57,56,61
50,41,45,56
39,53,54,41
50,49,56,46
34,35,41,26
57,59,54,56
57,65,72,56
68,62,56,51
42,54,47,46
61,59,49,66
76,63,60,66
47,59,54,46
46,52,55,56
39,41,33,41
52,49,49,61
28,46,43,51
42,54,50,52
47,42,52,51
47,57,48,41
52,59,58,66
47,52,43,61
50,62,41,31
44,52,43,51
47,41,46,41
45,55,44,41
47,37,43,46
65,54,61,56
43,57,40,51
47,54,49,61
57,62,56,66
68,59,61,71
52,55,50,61
42,57,51,61
42,39,42,41
66,67,67,66
47,62,53,61
57,50,50,58
47,61,51,31
57,62,72,61
52,59,48,61
44,44,40,31
50,59,53,61
39,54,39,36
57,62,63,41
57,60,51,37
42,57,45,43
47,46,39,61
42,36,42,39
60,59,62,51
44,49,44,51
63,60,65,66
65,67,63,71
39,54,54,41
50,52,45,36
52,65,60,51
60,62,49,51
44,49,48,51
52,67,57,61
55,65,55,61
50,67,66,56
65,65,64,71
52,54,55,51
47,44,42,36
63,62,56,61
50,46,53,66
42,54,41,41
36,57,42,41
50,52,53,56
41,59,42,51
47,65,60,56
55,59,52,56
42,46,38,46
57,41,57,52
55,62,58,61
63,65,65,61
